FECHA,CNT_LLAMADAS,CNT_POLITICA_RESTRICCION,CNT_BOLQ_REL_TIPO_GEST,CNT_BLOQ_RAN_REL,CNT_PERMITIERON_CONTINUAR,CNT_CONECTADAS_VOICE_MAIL,CNT_CONECTADA_ANUNCIO_SWITCH
09/06/2016 00:00:00,386094,322,0,129,193,0,0
09/06/2016 01:00:00,158586,300,0,120,180,0,0
09/06/2016 02:00:00,73464,87,0,35,52,0,0
09/06/2016 03:00:00,46552,58,0,23,35,0,0
09/06/2016 04:00:00,48118,81,0,33,48,0,0
09/06/2016 05:00:00,83805,86,0,34,52,0,0
09/06/2016 06:00:00,225241,133,0,53,80,0,0
09/06/2016 07:00:00,603259,302,0,120,182,0,0
09/06/2016 08:00:00,1327553,17800,0,7121,10679,0,0
09/06/2016 09:00:00,2437317,92624,0,37051,55573,0,0
09/06/2016 10:00:00,3180217,128471,0,51389,77082,0,0
09/06/2016 11:00:00,3609033,99481,0,39793,59688,0,0
09/06/2016 12:00:00,3587566,100653,0,40260,60393,0,0
09/06/2016 13:00:00,2959909,142011,0,70831,71180,0,0
09/06/2016 14:00:00,2288898,117419,0,58518,58901,0,0
09/06/2016 15:00:00,2129710,102099,0,40839,61260,0,0
09/06/2016 16:00:00,2546692,108652,0,43458,65194,0,0
09/06/2016 17:00:00,3146195,135464,0,67544,67920,0,0
09/06/2016 18:00:00,3468166,122141,0,48855,73286,0,0
09/06/2016 19:00:00,3320890,139336,0,55737,83599,0,0
09/06/2016 20:00:00,2834443,134810,0,53924,80886,0,0
09/06/2016 21:00:00,1950718,1067,0,426,641,0,0
09/06/2016 22:00:00,1278807,860,0,346,514,0,0
09/06/2016 23:00:00,708634,753,0,300,453,0,0
